,Year,Month,Country,Area,Type,Activity,Sex,Age,Fatal,Injury,Species,Size (min),Size (max)
5084,1929,Jan,AUSTRALIA,Queensland,Unprovoked,Swimming,M,,Y,Fatal,,,
5085,1929,Jan,NEW ZEALAND,North Island,Unprovoked,Bathing,F,,N,Minor,,,
5086,1929,Jan,AUSTRALIA,New South Wales,Unprovoked,Body surfing,M,14.0,Y,Fatal,,366.0,366.0
5087,1929,Jan,TURKEY,,Boating,Fishing boat,M,,Y,Fatal,,,
5088,1929,Jan,FIJI,Viti Levu Island,Unprovoked,Diving for coins thrown from ship S.S. Moeraki,M,,Y,Fatal,,,
5089,1929,,AUSTRALIA,New South Wales,Invalid,Swimming,M,,,No injury,,,
5090,1929,,AUSTRALIA,South Australia,Provoked,"Wading, netting fish",M,,N,Minor,,,
5091,1929,,USA,Florida,Provoked,Fishing,M,,N,Moderate,,274.0,274.0
5092,1929,,AUSTRALIA,New South Wales,Unprovoked,,M,,N,Moderate,,,
5093,1929,,USA,Florida,Unprovoked,Hardhat diving ,M,27.0,N,Minor,,,
5094,1928,Dec,AUSTRALIA,,Unprovoked,Pearl diving,M,,N,Moderate,,,
5095,1928,Nov,USA,New Jersey,Provoked,Fishing,M,,N,Minor,,,
5096,1928,Nov,INDIA,,Boating,,M,24.0,N,Minor,,,
5097,1928,Nov,USA,Virginia,Sea Disaster,"Sea Disaster, sinking of the  SS Vestris",M,,Y,Fatal,,,
5098,1928,Nov,PANAMA,Gulf of Panama,Unprovoked,Swimming,M,17.0,Y,Fatal,,274.0,274.0
5099,1928,Sep,USA,Texas,Unprovoked,Fishing,M,,N,Minor,,,
5100,1928,Aug,USA,New Jersey,Invalid,,M,,,,,213.0,213.0
5101,1928,Jul,AUSTRALIA,,Unprovoked,Pearl diving,M,,N,Minor,,,
5102,1928,Jul,ITALY,Tuscany,Provoked,Boating,M,,N,Minor,,,
5103,1928,Jun,USA,Florida,Unprovoked,Swimming,M,,N,Minor,,,
5104,1928,May,INDIA,,Invalid,,M,,,,,,
5105,1928,Apr,AUSTRALIA,Queensland,Unprovoked,Fishing,M,,N,Major,Tiger,,
5106,1928,Apr,AUSTRALIA,New South Wales,Unprovoked,Treading water,M,19.0,N,Major,,,
5107,1928,Apr,JAMAICA,,Unprovoked,Diving,M,,Y,Fatal,,,
5108,1928,Apr,AUSTRALIA,Queensland,Unprovoked,Bathing,M,15.0,N,Moderate,,122.0,122.0
5109,1928,Apr,AUSTRALIA,New South Wales,Unprovoked,Standing in waist-deep water,M,28.0,Y,Fatal,,,
5110,1928,Mar,AUSTRALIA,Queensland,Unprovoked,,M,,N,Minor,,,
5111,1928,Feb,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,Y,Fatal,,,
5112,1928,Feb,COSTA RICA,Near Puntarenas,Unprovoked,Swimming,F,,N,Major,,,
5113,1928,Feb,COSTA RICA,Near Puntarenas,Unprovoked,Swimming,M,,N,Major,,,
5114,1928,Jan,AUSTRALIA,Torres Strait,Unprovoked,Retrieving meat from a cage in the water,M,78.0,Y,Fatal,,,
5115,1928,Jan,USA,Florida,Invalid,Swimming,,,,,,,
5116,1928,Jan,USA,Florida,Invalid,Jumped overboard and swimming,M,,,Fatal,,,
5117,1928,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,,F,,N,Moderate,,,
5118,1928,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Body surfing,M,18.0,N,Minor,,120.0,120.0
5119,1928,,SOUTH AFRICA,KwaZulu-Natal,Unprovoked,Standing,M,25.0,N,Major,,,
5120,1927,Dec,SOUTH AFRICA,Western Cape Province,Unprovoked,Swimming,M,17.0,Y,Fatal,,440.0,440.0
5121,1927,Nov,AUSTRALIA,New South Wales,Sea Disaster,The steamer Tahiti collided with the ferry Greycliffe,,,Y,,,,
5122,1927,Oct,BRAZIL,Porto Seguro,Sea Disaster,Italian liner Principessa Mafalda sank,,,Y,,,,
5123,1927,Oct,AUSTRALIA,New South Wales,Unprovoked,Riding horseback across the creek,M,,N,Minor,,,
5124,1927,Oct,FIJI,,Unprovoked,"Standing, collecting bananas",M,,N,Minor,,,
5125,1927,Jul,AUSTRALIA,New South Wales,Boating,,,,N,Minor,,,
5126,1927,May,PHILIPPINES,Luzon Island,Sea Disaster,Sea disaster,,,Y,,,,
5127,1927,May,AUSTRALIA,Queensland,Unprovoked,Walking,M,,Y,Fatal,,,
5128,1927,Apr,AUSTRALIA,Torres Strait,Unprovoked,Diving,M,,N,Moderate,,,
5129,1927,Apr,AUSTRALIA,Queensland,Unprovoked,Pearl diving,M,,N,Moderate,,,
5130,1927,Mar,AUSTRALIA,New South Wales,Unprovoked,Body surfing / treading water,M,17.0,N,Major,,,
5131,1927,Feb,NICARAGUA,Salinas Bay,Provoked,Feeling the shark’s teeth,M,,N,Moderate,,,
5132,1927,Feb,AUSTRALIA,Queensland,Unprovoked,Attempting to rescue drowning man,M,,N,Minor,,,
5133,1927,Feb,NEW ZEALAND,South Island,Provoked,Fishing,M,70.0,N,Major,Mako,,
