,Year,Country,Activity,Age,Species ,Sex,Species
403,2015,SOUTH AFRICA,Surfing,23,"White shark, 2m to 3 m",M,"White shark, 2m to 3 m"
404,2015,USA,Standing,43,4' shark,M,4' shark
405,2015,AUSTRALIA,Swimming,19,Wobbegong shark,M,Wobbegong shark
407,2015,USA,Swimming,6,Sandtiger shark,M,Sandtiger shark
408,2015,AUSTRALIA,Surfing,37,White shark,F,White shark
409,2015,USA,Standing,9,small shark,M,small shark
412,2015,USA,Wading,16,Bull shark,M,Bull shark
413,2015,USA,Wading,12,Bull shark,F,Bull shark
415,2015,USA,Boogie boarding,13,4' shark,F,4' shark
416,2015,USA,Playing,11,"Bull shark, 5'",M,"Bull shark, 5'"
417,2015,USA,Attempting to rescue a shark,17,small nurse shark,F,small nurse shark
418,2015,REUNION,Surfing,47,"Bull shark, 2.5 m",M,"Bull shark, 2.5 m"
421,2015,FRENCH POLYNESIA,Spearfishing,19,1m to 1.2 m shark,M,1m to 1.2 m shark
423,2015,USA,Surfing,18,5' shark,M,5' shark
425,2015,NEW CALEDONIA,Snorkeling,50,"Bull shark, 3.5 m",M,"Bull shark, 3.5 m"
428,2015,SOUTH AFRICA,Diving,29,"White shark, 3.5 m",M,"White shark, 3.5 m"
430,2015,USA,Wading,63,3- to 4-foot shark,M,3- to 4-foot shark
431,2015,AUSTRALIA,Surfing,26,"White shark, 6 m",M,"White shark, 6 m"
432,2015,AUSTRALIA,Surf skiing ,71,"White shark, 3 m",M,"White shark, 3 m"
433,2015,USA,Photographing the shark,48,"Blue shark, 8 to 9 feet",M,"Blue shark, 8 to 9 feet"
434,2015,REUNION,Surfing,13,Bull shark,M,Bull shark
436,2015,USA,Spearfishing,70,Bull shark,M,Bull shark
437,2015,ITALY,Diving,43,Shark involvement not cofirmed,M,Shark involvement not cofirmed
438,2015,BRAZIL,Surfing,23,No shark involvement,M,No shark involvement
439,2015,SOUTH AFRICA,Kayak Fishing,36,"White shark, 4 m",M,"White shark, 4 m"
440,2015,EGYPT,Swimming,52,Mako shark,M,Mako shark
441,2015,USA,Standing / Snorkeling,58,"Tiger shark, 8 to 12 feet",M,"Tiger shark, 8 to 12 feet"
442,2015,FRENCH POLYNESIA,Hand feeding sharks,9,Blacktip shark,M,Blacktip shark
447,2015,REUNION,Swimming,22,"Tiger shark, 3.5 m",F,"Tiger shark, 3.5 m"
448,2015,AUSTRALIA,Surfing,41,3.5 to 4 m shark,M,3.5 to 4 m shark
449,2015,AUSTRALIA,Surfing,35,2 m to  3 m shark,M,2 m to  3 m shark
451,2015,AUSTRALIA,Rowing,57,"Bull shark, 1.3 m",M,"Bull shark, 1.3 m"
452,2015,USA,Shark fishing,20,4' shark,M,4' shark
458,2015,AUSTRALIA,Filming,17,1.5 m shark,M,1.5 m shark
459,2015,USA,Swimming after falling overboard,38,No shark involvement,M,No shark involvement
460,2015,BAHAMAS,Snorkeling,34,White shark or oceanic whitetip shark,F,White shark or oceanic whitetip shark
461,2015,SOUTH AFRICA,Surfing,15,"Raggedtooth shark, 1.3 m",M,"Raggedtooth shark, 1.3 m"
464,2014,AUSTRALIA,Spearfishing,17,"White shark, 4 to 5 m",M,"White shark, 4 to 5 m"
467,2014,USA,Surfing,50,"White shark, 8' to 10'",M,"White shark, 8' to 10'"
470,2014,AUSTRALIA,Spearfishing,17,Tiger shark,M,Tiger shark
476,2014,USA,Surfing,44,2' shark,M,2' shark
477,2014,USA,Snorkeling,53,1.5 m shark,M,1.5 m shark
480,2014,USA,Surfing,34,"Tiger shark, 12'",F,"Tiger shark, 12'"
486,2014,AUSTRALIA,Surfing,13,1 m shark,F,1 m shark
487,2014,USA,Standing in inner tube,7,"Bull shark, 3' to 4'",F,"Bull shark, 3' to 4'"
490,2014,USA,Surfing,29,Blacktip shark,M,Blacktip shark
492,2014,USA,Surfing,15,Blacktip shark,M,Blacktip shark
495,2014,USA,Surfing,28,8' to 10' shark,M,8' to 10' shark
496,2014,AUSTRALIA,Surfing,23,"2 white shark: 13' & 9""8""",M,"2 white shark: 13' & 9""8"""
498,2014,FRENCH POLYNESIA,Feeding fish,36,Blacktip shark,F,Blacktip shark
500,2014,AUSTRALIA,Swimming,50,7' shark,M,7' shark
501,2014,USA,Fishing ,43,Bull shark,M,Bull shark
503,2014,USA,Fishing,52,3' to 4' shark,M,3' to 4' shark
505,2014,USA,Body surfing,13,Spinner shark,F,Spinner shark
506,2014,USA,Surfing,17,Spinner shark or blacktip shark,M,Spinner shark or blacktip shark
510,2014,USA,Surfing,29,4' to 6' shark,M,4' to 6' shark
514,2014,AUSTRALIA,Spearfishing,31,reef shark,M,reef shark
519,2014,USA,Swimming,7," Bull shark, 5'",M," Bull shark, 5'"
520,2014,USA,Boogie boarding,10,4' tp 5' shark,M,4' tp 5' shark
524,2014,SOUTH AFRICA,Surfing,20,White shark,M,White shark
527,2014,REUNION,Surfing,51,1.8 metre shark,M,1.8 metre shark
530,2014,USA,Swimming,61,6' to 8' shark,M,6' to 8' shark
531,2014,USA,Swimming,39,4' shark,M,4' shark
532,2014,BAHAMAS,Shark diving,63,Shark involvement not confirmed,M,Shark involvement not confirmed
537,2014,USA,Body surfing,19,4' to 5' shark,M,4' to 5' shark
538,2014,ST. MARTIN,Transatlantic Rowing,48,Oceanic whitetip shark',M,Oceanic whitetip shark'
539,2014,BAHAMAS,Spearfishing,42,"Caribbean reef shark, 7' to 8'",M,"Caribbean reef shark, 7' to 8'"
544,2014,USA,Standing,16," Sandbar shark, 3' to 4'",M," Sandbar shark, 3' to 4'"
545,2014,AUSTRALIA,Body boarding,39,"Bronze whaler shark, 1.5m",M,"Bronze whaler shark, 1.5m"
548,2014,USA,Swimming,22,Bull shark,F,Bull shark
550,2014,USA,Tagging sharks,37,Blacktip Reef shark ,F,Blacktip Reef shark 
551,2014,AUSTRALIA,Fell into the water,29," Bull shark, 1.2m ",F," Bull shark, 1.2m "
553,2014,AUSTRALIA,Teasing a shark,10," Tawney nurse shark, 1m",M," Tawney nurse shark, 1m"
555,2014,AUSTRALIA,Surfing,35," white shark, 15' ",M," white shark, 15' "
557,2014,USA,Surfing,12,Shark involvement not confirmed,M,Shark involvement not confirmed
559,2014,USA,Swimming,40,4' to 5' shark,F,4' to 5' shark
561,2014,USA,Surfing,23,3' shark,M,3' shark
569,2014,AUSTRALIA,Swimming,63,3 m to 4 m white shark,F,3 m to 4 m white shark
570,2014,AUSTRALIA,Diving for lobsters,38,Shark involvement prior to death not confirmed,M,Shark involvement prior to death not confirmed
571,2014,SOUTH AFRICA,Swimming,66,2 m shark,M,2 m shark
579,2014,USA,Surfing,21,Blacktip or spinner shark?,M,Blacktip or spinner shark?
580,2014,FRENCH POLYNESIA,Kitesurfing,21,Blacktip reef shark ,M,Blacktip reef shark 
584,2014,NEW ZEALAND,Surfing,28,7-gill shark?,M,7-gill shark?
586,2014,NEW ZEALAND,Spearfishing,24,7-gill shark,M,7-gill shark
590,2013,NEW CALEDONIA,Snorkeling,37,Reported to involve a bull shark,M,Reported to involve a bull shark
591,2013,SOUTH AFRICA,Surfing,19,"White shark, 3m ",M,"White shark, 3m "
593,2013,USA,Boogie boarding,29,"Tiger shark, 10' to 12'",M,"Tiger shark, 10' to 12'"
594,2013,USA,Surfing,30,4' to 6' shark,M,4' to 6' shark
595,2013,AUSTRALIA,Surfing,26," Wobbegong shark, 1.6 to 1.8m ",M," Wobbegong shark, 1.6 to 1.8m "
597,2013,AUSTRALIA,Body boarding,19,"Tiger shark, 3m ",M,"Tiger shark, 3m "
599,2013,AUSTRALIA,Surfing,35,Thought to involve a white shark,M,Thought to involve a white shark
600,2013,USA,Surfing,25,"White shark, 10 '",M,"White shark, 10 '"
605,2013,USA,Kiteboarding,46,Tiger shark,M,Tiger shark
606,2013,AUSTRALIA,Snorkeling,60,"Blacktip reef shark, 1m",F,"Blacktip reef shark, 1m"
607,2013,REUNION,Body boarding,24,Thought to involve a bull shark,M,Thought to involve a bull shark
609,2013,AUSTRALIA,Surfing,41,Wobbegong shark,M,Wobbegong shark
610,2013,USA,Diving ,45,"Whitetip reef shark, 4' to 6'",M,"Whitetip reef shark, 4' to 6'"
611,2013,USA,Surfing,25,Tiger shark,M,Tiger shark
612,2013,USA,Wading,6,Nurse shark?,M,Nurse shark?
613,2013,SOUTH AFRICA,Swimming / snorkeling,74,White shark,M,White shark
614,2013,AUSTRALIA,Diving for Abalone,55,White shark,M,White shark
615,2013,USA,Surfing,45,"White shark, 8' to 10'",M,"White shark, 8' to 10'"
616,2013,USA,Wading,12,Small bull shark,M,Small bull shark
622,2013,USA,Swimming,21,Bull shark,M,Bull shark
623,2013,USA,Surfing,13,3' shark,F,3' shark
625,2013,USA,Surfing,43,3' shark,M,3' shark
626,2013,USA,Standing,25,3' shark,M,3' shark
